Condition,ICD10,ICD10QF,SMRType,FinancialYear,HBT2014,HBT2014QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
All alcohol conditions,,d z,Combined,2013/14,S08000020,,547.2,371.9,187.3,,3125,,2127,,1082,,1.5
All alcohol conditions,,d z,Combined,2013/14,S08000021,,1099.2,687.9,291.5,,11793,,7398,,3168,,1.6
All alcohol conditions,,d z,Combined,2013/14,S08000022,,732.8,506,228.7,,2381,,1636,,728,,1.5
All alcohol conditions,,d z,Combined,2013/14,S08000023,,798.6,522.7,252,,5075,,3321,,1589,,1.5
All alcohol conditions,,d z,Combined,2013/14,S08000024,,664,444.8,213.2,,5421,,3633,,1766,,1.5
All alcohol conditions,,d z,Combined,2013/14,S08000025,,1407.1,578.5,300.3,,320,,128,,63,,2.5
All alcohol conditions,,d z,Combined,2013/14,S08000026,,687.2,519.2,248,,,c,,c,58,,1.3
All alcohol conditions,,d z,Combined,2013/14,S08000027,,568.3,403.5,200.6,,2288,,1629,,814,,1.4
All alcohol conditions,,d z,Combined,2013/14,S08000028,,889.7,689.2,342.2,,,c,,c,,c,1.3
All alcohol conditions,,d z,Combined,2014/15,S08000015,,866.8,568.8,245,,3162,,2082,,902,,1.5
All alcohol conditions,,d z,Combined,2014/15,S08000016,,484.5,353.8,191.8,,546,,398,,215,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000017,,461.9,323.4,158.5,,709,,489,,240,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000018,,655.8,454.9,239.2,,2367,,1646,,867,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000019,,527.5,363.9,185.6,,1561,,1075,,551,,1.5
All alcohol conditions,,d z,Combined,2014/15,S08000020,,498.6,349.1,171.8,,2861,,2011,,1003,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000021,,1068.3,677.3,286.9,,11472,,7272,,3102,,1.6
All alcohol conditions,,d z,Combined,2014/15,S08000022,,736.9,496.2,236.7,,2390,,1609,,758,,1.5
All alcohol conditions,,d z,Combined,2014/15,S08000023,,771.6,509.1,238,,4906,,3227,,1503,,1.5
All alcohol conditions,,d z,Combined,2014/15,S08000024,,650.4,423.5,198,,5343,,3482,,1650,,1.5
All alcohol conditions,,d z,Combined,2014/15,S08000025,,728.3,517.3,265.9,,160,,114,,58,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000026,,576,453.4,244.4,,135,,106,,57,,1.3
All alcohol conditions,,d z,Combined,2014/15,S08000027,,592,414.3,206.7,,2388,,1683,,851,,1.4
All alcohol conditions,,d z,Combined,2014/15,S08000028,,631.8,479.8,204.8,,,c,,c,,c,1.3
All alcohol conditions,,d z,Combined,2015/16,S08000015,,820,539.1,228.4,,3000,,1980,,840,,1.5
All alcohol conditions,,d z,Combined,2015/16,S08000016,,472,327.4,162.1,,525,,370,,181,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000017,,501.9,358,178.4,,751,,529,,265,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000018,,638.2,454.6,236.7,,2305,,1646,,853,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000019,,570.1,388.3,201.1,,1702,,1153,,600,,1.5
All alcohol conditions,,d z,Combined,2015/16,S08000020,,498.9,346.7,173.9,,2882,,2005,,1012,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000021,,1079.1,685,296.9,,11652,,7389,,3224,,1.6
All alcohol conditions,,d z,Combined,2015/16,S08000022,,716.7,496.3,232.7,,2340,,1625,,753,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000023,,821.2,521.5,239.9,,5263,,3326,,1516,,1.6
All alcohol conditions,,d z,Combined,2015/16,S08000024,,616.6,406.1,187.5,,5110,,3367,,1576,,1.5
All alcohol conditions,,d z,Combined,2015/16,S08000025,,698.7,500.6,254.3,,154,,108,,53,,1.4
All alcohol conditions,,d z,Combined,2015/16,S08000026,,658.7,453.3,276.3,,,c,,c,,c,1.5
All alcohol conditions,,d z,Combined,2015/16,S08000027,,541.5,366.1,182.2,,2199,,1490,,747,,1.5
All alcohol conditions,,d z,Combined,2015/16,S08000028,,734.1,553.8,201.4,,213,,159,,57,,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S92000003,d,83.2,53.6,,:,3734,,2396,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S92000003,d,85.2,56,,:,3837,,2512,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S92000003,d,90.9,58.8,,:,4129,,2656,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S92000003,d,96.5,61.7,,:,4463,,2834,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S92000003,d,107.6,66.8,,:,5048,,3107,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S92000003,d,111.6,68.2,,:,5251,,3191,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S92000003,d,119.2,72.9,,:,5652,,3431,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S92000003,d,129.6,73.7,,:,6196,,3517,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S92000003,d,134.6,77,,:,6485,,3704,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S92000003,d,138.8,78.7,,:,6755,,3818,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S92000003,d,140.1,78.9,22.2,,6937,,3892,,1084,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S92000003,d,136.7,77.3,21.3,,6843,,3854,,1058,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2009/10,S92000003,d,135.2,75.6,20.3,,6831,,3809,,1010,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2010/11,S92000003,d,135,73.3,19.5,,6865,,3723,,979,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2011/12,S92000003,d,126.9,69.2,18.5,,6488,,3537,,927,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2012/13,S92000003,d,123.3,67.6,18.5,,6335,,3475,,940,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2013/14,S92000003,d,129.3,69.9,18.7,,6704,,3612,,955,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2014/15,S92000003,d,134.6,73,19.4,,7022,,3800,,997,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2015/16,S92000003,d,135.2,73.1,19.4,,7110,,3837,,1009,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S92000003,d,140,76.9,20.7,,7437,,4074,,1088,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000015,,56.7,36.8,,:,193,,126,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000016,,53.7,33.9,,:,53,,34,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000017,,45.7,25,,:,65,,36,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000018,,56.2,33.5,,:,169,,102,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000019,,80.9,51.4,,:,201,,125,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000020,,51.4,36.9,,:,237,,168,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000021,,129.2,88.5,,:,1274,,868,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000022,,59,40.8,,:,161,,112,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000023,,71.9,50.2,,:,403,,280,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000024,,115.2,62.5,,:,745,,399,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000025,,42.7,31.9,,:,8,,6,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000026,,93.2,37,,:,17,,7,,,:,2.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000027,,55.6,36.7,,:,198,,131,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1997/98,S08000028,,38,26,,:,10,,7,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000015,,77.5,53.3,,:,268,,182,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000016,,59.5,35,,:,59,,35,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000017,,49.6,35.6,,:,68,,48,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000018,,55.8,36.2,,:,167,,111,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000019,,81.6,50.6,,:,206,,128,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000020,,57,36.8,,:,264,,169,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000021,,124.4,86,,:,1216,,834,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000022,,59,44,,:,169,,125,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000023,,88,59.9,,:,487,,328,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000024,,108.5,61.2,,:,703,,395,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000025,,30.3,20.1,,:,6,,,c,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000026,,72.5,49.8,,:,14,,9,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000027,,52.8,38.3,,:,192,,139,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1998/99,S08000028,,67.6,37.2,,:,18,,10,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000015,,64.9,48.3,,:,228,,169,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000016,,63.4,33.5,,:,66,,35,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000017,,53,30.8,,:,77,,45,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000018,,80.3,45.9,,:,248,,143,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000019,,65.1,46.7,,:,164,,116,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000020,,59.2,35.9,,:,278,,166,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000021,,132.9,93.1,,:,1300,,908,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000022,,66.9,42.1,,:,191,,118,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000023,,93.2,65.4,,:,520,,362,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000024,,113.9,63.7,,:,742,,414,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000025,,11.1,11.1,,:,,c,,c,,:,1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000026,,66.3,36.2,,:,15,,8,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000027,,76.6,44.9,,:,283,,164,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,1999/00,S08000028,,56.7,37.1,,:,15,,10,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000015,,77,51.6,,:,270,,180,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000016,,59.7,34.5,,:,62,,36,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000017,,59.8,34.2,,:,88,,50,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000018,,86.1,47.5,,:,277,,153,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000019,,80.9,53.3,,:,206,,135,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000020,,62.6,39.7,,:,300,,189,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000021,,148,100,,:,1473,,981,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000022,,45.9,38.4,,:,135,,113,,,:,1.2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000023,,96.5,64.2,,:,545,,360,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000024,,119.3,67.9,,:,784,,447,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000025,,80.7,60.5,,:,16,,12,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000026,,37.9,33.9,,:,8,,7,,,:,1.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000027,,72.4,44.2,,:,274,,165,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2000/01,S08000028,,91.1,46.6,,:,25,,13,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000015,,97.8,57.9,,:,347,,204,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000016,,75.4,46.9,,:,82,,51,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000017,,63.5,41.4,,:,94,,61,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000018,,84.5,51,,:,277,,165,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000019,,87.4,51.9,,:,231,,136,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000020,,69.7,40.6,,:,333,,192,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000021,,158.7,103.4,,:,1595,,1028,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000022,,72.8,49.3,,:,216,,146,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000023,,108.8,71.5,,:,622,,408,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000024,,133.2,77,,:,905,,519,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000025,,60,35.3,,:,12,,7,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000026,,16.9,16.9,,:,,c,,c,,:,1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000027,,81,47.4,,:,304,,176,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2001/02,S08000028,,97.6,67.2,,:,26,,18,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000015,,110,66.6,,:,389,,235,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000016,,50,37.2,,:,52,,38,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000017,,76.9,42.9,,:,117,,66,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000018,,83,51,,:,269,,164,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000019,,86.8,54.4,,:,231,,143,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000020,,62.9,36.7,,:,312,,182,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000021,,170.5,106.5,,:,1703,,1055,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000022,,88.7,55.8,,:,268,,168,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000023,,117.4,76.3,,:,688,,443,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000024,,123.5,70.4,,:,844,,476,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000025,,53.2,48.4,,:,10,,9,,,:,1.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000026,,25.6,21.3,,:,6,,5,,,:,1.2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000027,,88.8,53.3,,:,331,,199,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2002/03,S08000028,,116.6,79.1,,:,31,,21,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000015,,125.7,72.1,,:,450,,257,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000016,,43.6,32,,:,47,,34,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000017,,82.7,43,,:,128,,67,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000018,,81.7,52.9,,:,267,,172,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000019,,84.3,61.3,,:,223,,162,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000020,,79.7,47.6,,:,396,,233,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000021,,183.7,115.4,,:,1839,,1152,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000022,,87.4,55.5,,:,270,,169,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000023,,130.2,80.9,,:,766,,465,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000024,,114.5,67.1,,:,783,,457,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000025,,92.5,58.9,,:,19,,12,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000026,,37.4,27.5,,:,8,,6,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000027,,115.2,62.9,,:,429,,233,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2003/04,S08000028,,97.2,76.5,,:,27,,21,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000015,,130.7,71.9,,:,475,,262,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000016,,51.6,27,,:,58,,30,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000017,,96.1,49,,:,151,,76,,,:,2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000018,,122.6,57.3,,:,410,,192,,,:,2.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000019,,87.6,52.1,,:,236,,140,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000020,,86.2,51.8,,:,430,,256,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000021,,195.6,116.9,,:,1942,,1162,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000022,,92.2,57.9,,:,283,,178,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000023,,146.3,87.1,,:,870,,517,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000024,,126.8,69.9,,:,860,,479,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000025,,174,56.1,,:,38,,12,,,:,3.2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000026,,75,45,,:,15,,9,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000027,,110.3,53.3,,:,417,,203,,,:,2.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2004/05,S08000028,,39.1,35.3,,:,11,,10,,,:,1.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000015,,117.7,67.3,,:,430,,246,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000016,,58.5,39.5,,:,65,,44,,,:,1.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000017,,86.1,51.5,,:,134,,81,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000018,,136.9,64.5,,:,463,,219,,,:,2.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000019,,83.8,47.9,,:,230,,131,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000020,,100,55.1,,:,497,,276,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000021,,207.2,121.4,,:,2082,,1212,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000022,,113.3,69.7,,:,359,,220,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000023,,145.7,88.7,,:,885,,531,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000024,,130.6,72.7,,:,888,,500,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000025,,108.3,49.4,,:,22,,10,,,:,2.2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000026,,48.2,38.5,,:,10,,8,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000027,,102.8,56.6,,:,390,,215,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2005/06,S08000028,,108.9,75.9,,:,30,,21,,,:,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000015,,115.7,65,,:,425,,239,,,:,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000016,,64.4,40.2,,:,75,,46,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000017,,97.5,57,,:,154,,89,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000018,,142,67.5,,:,490,,233,,,:,2.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000019,,86.3,51.1,,:,240,,141,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000020,,102.1,53.8,,:,515,,271,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000021,,212.1,125.8,,:,2145,,1262,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000022,,110.4,67.2,,:,355,,215,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000023,,146,92.6,,:,876,,553,,,:,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000024,,141.9,74.6,,:,982,,513,,,:,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000025,,83.3,35.9,,:,18,,8,,,:,2.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000026,,50.3,28.5,,:,10,,6,,,:,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000027,,112,56.6,,:,431,,218,,,:,2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2006/07,S08000028,,138.4,106.8,,:,39,,30,,,:,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000015,,128.7,75.4,18.5,,482,,280,,69,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000016,,73.9,54,19.3,,86,,63,,22,,1.4
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000017,,86.1,44.6,7.4,,138,,72,,12,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000018,,128,64.9,17.7,,455,,227,,63,,2
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000019,,79.8,48.1,13.8,,227,,136,,38,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000020,,99.5,52.5,10.6,,514,,271,,55,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000021,,220.2,129.2,36.9,,2241,,1307,,370,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000022,,115.2,69.9,17.7,,368,,225,,56,,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000023,,141.4,90.9,32.2,,866,,553,,192,,1.6
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000024,,152.2,73.5,17.8,,1083,,523,,125,,2.1
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000025,,116.8,35.8,8.1,,28,,8,,,c,3.5
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000026,,56.2,29.9,12.8,,13,,7,,,c,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000027,,104.3,55.2,17.3,,405,,215,,68,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2007/08,S08000028,,105.3,79.8,32.2,,31,,23,,9,,1.3
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000015,,142.6,75.7,18.4,,535,,283,,68,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000016,,69.4,39.8,12.9,,83,,48,,16,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000017,,96.5,55.2,10.9,,155,,89,,18,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000018,,109,58.8,17.1,,385,,205,,60,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000019,,72.3,43.4,14,,207,,124,,39,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000020,,89.8,51.2,12.4,,478,,271,,65,,1.8
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000021,,211.3,128.4,35.3,,2173,,1313,,355,,1.7
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000022,,132.8,70.6,15.2,,432,,230,,49,,1.9
Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2008/09,S08000023,,130.1,79.3,25.1,,813,,495,,155,,1.6
